target,right,left,
0,4.89,5.32,
0,4.89,5.32,
0,4.89,5.32,
0,4.89,5.01,
0,4.89,5.01,
0,4.43,5.01,
0,4.43,5.01,
0,4.43,5.01,
0,4.43,5.01,
0,4.43,4.49,
0,4.43,4.49,
0,4.38,4.49,
0,4.38,4.49,
0,4.38,4.49,
0,4.38,4.49,
0,4.38,3.82,
0,4.38,3.82,
0,3.97,3.82,
0,3.97,3.82,
0,3.97,3.82,
0,3.97,3.82,
0,3.97,3.82,
0,3.97,3.73,
0,3.82,3.73,
0,3.82,3.73,
0,3.82,3.73,
0,3.82,3.73,
0,3.82,3.73,
0,3.82,3.73,
0,3.85,3.31,
0,3.85,3.31,
0,3.85,3.31,
0,3.85,3.31,
0,3.85,3.31,
0,3.85,3.31,
0,3.85,3.31,
0,3.56,3.31,
0,3.56,3.03,
0,3.56,3.03,
0,3.56,3.03,
0,3.56,3.03,
0,3.56,3.03,
0,3.56,3.03,
0,3.66,3.03,
0,3.66,3.03,
0,3.66,3.03,
0,3.66,2.72,
0,3.66,2.72,
0,3.66,2.72,
0,3.66,2.72,
0,3.53,2.72,
0,3.53,2.72,
0,3.53,2.72,
0,3.53,2.72,
0,3.53,2.72,
0,3.53,2.72,
0,3.53,2.72,
0,3.26,2.19,
0,3.26,2.19,
0,3.26,2.19,
0,3.26,2.19,
0,3.26,2.19,
0,3.26,2.19,
0,3.26,2.19,
0,3.37,2.19,
0,3.37,2.19,
0,3.37,2.19,
0,3.37,2.48,
0,3.37,2.48,
0,3.37,2.48,
0,3.37,2.48,
0,3.37,2.48,
0,3.01,2.48,
0,3.01,2.48,
0,3.01,2.48,
0,3.01,2.48,
0,3.01,2.48,
0,3.01,2.35,
0,3.01,2.35,
0,3.01,2.35,
0,3.01,2.35,
0,2.92,2.35,
0,2.92,2.35,
0,2.92,2.35,
0,2.92,2.35,
0,2.92,2.35,
0,2.92,2.35,
0,2.92,2.35,
0,2.92,2.35,
0,3.01,2.1,
0,3.01,2.1,
0,3.01,2.1,
0,3.01,2.1,
